,number of words,% positive,% negative,% uncertainty,% litigious,% modal-weak,% modal moderate,% modal strong,% constraining,average word length,vocabulary
2019-04-17,277.0,0.6951014401345528,0.3639756123199832,0.3639756123199832,0.0,0.16556291390728478,0.33112582781456956,0.8935141385472511,0.0,4.780537159676233,146.0
2019-04-23,222.0,1.3513513513513513,0.0,0.45045045045045046,0.0,0.0,0.0,0.0,0.0,4.536036036036036,132.0
2019-07-08,529.0,0.5671077504725899,4.536862003780719,0.945179584120983,0.0,0.7561436672967864,0.1890359168241966,1.1342155009451798,0.3780718336483932,4.79773156899811,265.0
2019-07-09,31.0,0.0,6.451612903225806,0.0,0.0,0.0,0.0,0.0,0.0,4.096774193548387,24.0
2019-07-10,296.0,1.0135135135135136,3.3783783783783785,1.6891891891891893,0.33783783783783783,0.33783783783783783,0.6756756756756757,0.6756756756756757,1.3513513513513513,5.219594594594595,160.0
2019-07-11,905.0,1.1049723756906076,4.861878453038674,0.7734806629834254,0.11049723756906078,0.5524861878453038,0.44198895027624313,0.8839779005524863,0.5524861878453038,4.717127071823205,381.0
2020-02-24,273.0,1.8315018315018317,0.7326007326007326,1.098901098901099,0.0,0.3663003663003663,0.0,0.3663003663003663,0.0,4.926739926739927,165.0
2020-03-04,500.0,0.4,1.0,0.0,0.0,0.0,0.2,0.6,0.2,4.674,219.0
2020-03-17,163.0,0.6134969325153374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.895705521472393,113.0
2020-03-19,173.0,1.1560693641618496,0.5780346820809248,0.0,0.0,0.0,0.0,0.0,0.5780346820809248,5.1502890173410405,122.0
2020-03-20,995.0,1.6080402010050252,0.8040201005025126,0.4020100502512563,0.0,0.20100502512562815,0.20100502512562815,0.4020100502512563,0.3015075376884422,4.484422110552764,465.0
2020-03-24,224.0,2.232142857142857,0.8928571428571428,0.0,0.4464285714285714,0.0,0.0,0.8928571428571428,0.0,4.642857142857143,131.0
2020-03-26,750.0,0.4,0.26666666666666666,0.5333333333333333,0.0,0.5333333333333333,0.13333333333333333,0.5333333333333333,0.26666666666666666,4.957333333333334,322.0
2020-03-27,314.0,1.2738853503184715,1.2738853503184715,0.0,0.0,0.0,0.0,0.9554140127388535,0.0,4.6210191082802545,159.0
2020-03-30,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.705882352941177,31.0
2020-03-31,1071.0,1.0270774976657329,1.4189693801344287,0.6944444444444444,0.09337068160597572,0.37341299477221807,0.4480955937266617,0.23148148148148145,0.6944444444444444,4.756944444444445,448.0
2020-04-01,943.0,1.166489925768823,4.135737009544008,0.7223942208462332,0.9544008483563097,0.41279669762641896,0.0,0.4241781548250266,0.3181336161187699,4.897136797454931,415.0
2020-04-02,356.0,0.5617977528089888,1.9662921348314606,0.5617977528089888,0.0,0.0,0.0,0.0,0.2808988764044944,4.974719101123595,203.0
2020-04-03,648.0,0.5342831700801425,2.671415850400712,0.6172839506172839,0.30864197530864196,0.6172839506172839,0.30864197530864196,0.17809439002671415,0.0,4.952804986642921,325.0
2020-04-05,565.0,1.068689375140988,2.3842644810386746,0.797679023485475,0.08741258741258741,0.2666240569466376,0.08960573476702509,0.797679023485475,0.7998721708399128,4.651737599318245,271.5
2020-04-09,382.0,1.0471204188481675,2.8795811518324608,0.0,0.0,0.0,0.0,0.7853403141361256,1.5706806282722512,5.2434554973821985,203.0
2020-04-12,774.0,1.03359173126615,0.7751937984496124,0.6459948320413437,0.0,0.516795865633075,0.516795865633075,0.3875968992248062,0.0,4.768733850129199,383.0
2020-04-13,620.0,0.8064516129032258,2.903225806451613,0.4838709677419355,1.129032258064516,0.16129032258064516,0.3225806451612903,0.4838709677419355,0.16129032258064516,5.138709677419355,258.0
2020-04-16,340.0,0.29940119760479045,2.0588235294117645,0.26455026455026454,0.29940119760479045,0.0,0.0,0.0,0.0,5.212574850299402,203.0
2020-04-21,1064.0,0.4699248120300752,0.9398496240601504,0.5639097744360901,0.18796992481203006,0.4699248120300752,0.09398496240601503,0.6578947368421052,0.4699248120300752,4.489661654135339,378.0
2020-04-23,325.5,0.9443907156673115,1.5875241779497098,0.26595744680851063,0.18181818181818182,0.13297872340425532,0.18181818181818182,0.0,0.13297872340425532,5.159274661508704,172.5
2020-04-24,170.0,0.5882352941176471,0.5882352941176471,0.0,0.0,0.0,0.0,0.0,0.0,5.176470588235294,116.0
2020-04-28,429.0,0.8126343281551813,1.0460592540196425,1.037353429278777,0.345784476426259,0.33707865168539325,0.0,1.9283401801017492,0.2334249258644612,4.84431808907147,221.0
2020-04-29,934.0,1.8201284796573876,1.3918629550321198,0.5353319057815845,0.10706638115631692,0.21413276231263384,0.0,0.5353319057815845,0.0,4.917558886509636,398.0
2020-04-30,356.0,1.0038818887616139,1.3395698103601883,0.8495609011072929,0.3865979381443299,0.43750795469008524,0.0,0.15432098765432098,0.0,4.852885961562937,174.0
2020-05-07,528.0,1.5151515151515151,3.4090909090909087,0.0,1.893939393939394,0.0,0.0,0.7575757575757576,0.5681818181818182,5.232954545454546,275.0
2020-05-08,4133.0,1.0162109847568352,4.161625937575611,0.7258649891120251,0.8710379869344302,0.5081054923784176,0.29034599564481006,0.5564964916525525,0.14517299782240503,5.23639003145415,1194.0
2020-05-14,290.5,0.6549455316687554,0.5476959413862913,0.45731707317073167,0.0,0.1524390243902439,0.1976284584980237,1.5075195218355344,0.1976284584980237,4.828689867926347,166.0
