,number of words,% positive,% negative,% uncertainty,% litigious,% modal-weak,% modal moderate,% modal strong,% constraining,average word length,vocabulary
2016-01-14,413.0,0.24213075060532688,4.358353510895883,0.7263922518159807,0.0,0.48426150121065376,0.48426150121065376,0.9685230024213075,0.0,4.782082324455206,242.0
2016-05-02,629.0,1.1128775834658187,0.9538950715421303,1.4308426073131957,0.3179650238473768,0.6359300476947536,0.7949125596184419,0.3179650238473768,0.0,4.979332273449921,304.0
2016-08-03,597.0,1.0050251256281406,4.355108877721943,0.6700167504187605,1.340033500837521,0.5025125628140703,0.16750418760469013,0.0,0.0,4.95142378559464,298.0
2017-03-10,243.0,0.411522633744856,0.823045267489712,1.646090534979424,2.05761316872428,1.2345679012345678,0.411522633744856,0.0,0.0,5.131687242798354,145.0
2017-05-20,542.0,1.2915129151291513,0.36900369003690037,0.36900369003690037,0.36900369003690037,0.18450184501845018,0.7380073800738007,0.0,0.0,5.035055350553505,263.0
2017-08-02,851.0,0.4700352526439483,1.0575793184488838,0.35252643948296125,0.11750881316098707,0.23501762632197415,0.35252643948296125,0.5875440658049353,0.11750881316098707,4.81668625146886,338.0
2017-08-17,795.0,1.257861635220126,2.8930817610062896,0.628930817610063,0.628930817610063,0.628930817610063,0.25157232704402516,0.25157232704402516,0.0,5.581132075471698,368.0
2017-09-13,850.0,0.5882352941176471,3.294117647058824,1.411764705882353,0.7058823529411765,0.5882352941176471,0.4705882352941176,0.823529411764706,0.1176470588235294,4.794117647058823,393.0
2017-09-15,450.0,0.6666666666666667,2.2222222222222223,1.1111111111111112,3.5555555555555554,0.2222222222222222,0.0,1.5555555555555556,0.2222222222222222,5.528888888888889,222.0
2017-10-01,279.0,1.0752688172043012,3.225806451612903,0.7168458781362007,0.35842293906810035,0.35842293906810035,1.0752688172043012,0.0,0.0,5.111111111111111,157.0
2017-10-23,895.0,1.005586592178771,0.6703910614525139,1.452513966480447,0.22346368715083798,0.782122905027933,0.0,1.1173184357541899,0.0,4.911731843575419,382.0
2017-11-13,1331.0,1.051840721262209,1.5777610818933134,0.9015777610818932,0.07513148009015778,0.4507888805409466,0.15026296018031557,0.3756574004507889,0.3756574004507889,5.078888054094666,513.0
2017-11-27,225.0,0.4444444444444444,2.666666666666667,0.8888888888888888,0.4444444444444444,0.8888888888888888,0.0,0.0,0.0,4.702222222222222,140.0
2017-12-04,422.5,0.8012489677952105,2.661368015414258,1.0244632535094962,1.4708918249380676,0.43782686484998623,0.1488095238095238,0.5866363886595101,0.3720238095238095,4.917733278282411,216.5
2017-12-07,387.5,0.37827221418644885,3.065883887801696,1.3737627272469441,1.3737627272469441,0.6172182988740463,0.0,0.44598542216171755,0.10351966873706005,5.083017811055333,220.0
2017-12-08,561.0,1.4646494981221534,2.707243222617538,1.7886354080915217,0.7299399018502881,0.7928292060755309,0.19820730151888272,0.6765899864682002,0.06765899864682003,5.0143479474415,291.5
2017-12-11,1043.0,0.5752636625119847,1.821668264621285,1.1505273250239694,0.5752636625119847,0.38350910834132307,0.4793863854266539,0.4793863854266539,0.09587727708533077,4.724832214765101,451.0
2017-12-12,267.0,1.1235955056179776,2.9962546816479403,1.4981273408239701,1.4981273408239701,0.37453183520599254,1.8726591760299627,0.0,0.0,5.239700374531835,169.0
2017-12-14,301.0,0.6644518272425249,1.3289036544850499,1.3289036544850499,0.0,0.6644518272425249,0.6644518272425249,0.33222591362126247,0.0,4.724252491694352,168.0
2017-12-17,13.0,7.6923076923076925,7.6923076923076925,0.0,0.0,0.0,0.0,0.0,0.0,4.6923076923076925,12.0
2017-12-20,457.0,0.87527352297593,1.9693654266958425,0.6564551422319475,0.2188183807439825,0.0,0.2188183807439825,0.87527352297593,0.87527352297593,5.024070021881838,248.0
2017-12-22,598.0,1.6722408026755853,2.1739130434782608,0.8361204013377926,0.0,0.6688963210702341,0.5016722408026756,0.33444816053511706,0.33444816053511706,4.764214046822742,330.0
2017-12-29,824.0,0.8495145631067961,1.6990291262135921,1.6990291262135921,0.6067961165048543,0.9708737864077669,0.8495145631067961,0.0,0.3640776699029126,4.785194174757281,342.0
2018-01-09,112.0,0.0,2.6785714285714284,0.0,0.0,0.0,0.0,0.8928571428571428,0.0,4.830357142857143,82.0
2018-01-10,374.0,0.8021390374331552,2.13903743315508,0.8021390374331552,0.0,0.267379679144385,0.0,0.53475935828877,0.0,5.328877005347594,200.0
2018-01-22,385.0,0.5194805194805194,5.714285714285714,0.5194805194805194,0.0,0.2597402597402597,2.3376623376623376,0.7792207792207793,1.5584415584415585,5.2623376623376625,206.0
2018-01-24,266.0,0.0,1.1278195488721803,0.7518796992481203,0.0,0.37593984962406013,0.37593984962406013,0.37593984962406013,0.0,4.473684210526316,163.0
2018-01-31,255.0,0.7843137254901961,2.3529411764705883,2.3529411764705883,1.9607843137254901,1.5686274509803921,0.0,0.39215686274509803,0.0,4.968627450980392,155.0
2018-02-01,644.5,0.7442484662576687,2.0224948875255624,1.5112474437627812,0.5794989775051125,0.5169989775051125,0.783997955010225,0.25,0.10224948875255625,5.028122443762781,328.0
2018-02-09,43.0,0.0,4.651162790697675,0.0,0.0,0.0,0.0,0.0,2.3255813953488373,5.116279069767442,31.0
2018-02-12,724.5,2.5218375930119703,3.1979941766418634,0.5693950177935944,0.3202846975088968,0.1423487544483986,0.0711743772241993,4.687803299902945,0.0711743772241993,4.781648333872533,322.5
2018-03-20,440.0,0.0,4.318181818181818,1.5909090909090908,0.9090909090909091,0.9090909090909091,0.22727272727272727,0.0,0.45454545454545453,5.2,207.0
