,number of words,% positive,% negative,% uncertainty,% litigious,% modal-weak,% modal moderate,% modal strong,% constraining,average word length,vocabulary
2016-02-02,383.0,1.0443864229765014,1.8276762402088773,0.7832898172323759,0.0,0.5221932114882507,0.26109660574412535,0.7832898172323759,0.0,4.7441253263707575,189.0
2016-03-23,452.0,0.6637168141592921,4.646017699115045,1.5486725663716814,0.22123893805309736,0.4424778761061947,0.8849557522123894,0.22123893805309736,0.0,5.097345132743363,228.0
2016-03-30,196.0,0.0,5.612244897959184,2.0408163265306123,2.5510204081632653,1.0204081632653061,0.0,0.5102040816326531,0.0,5.224489795918367,125.0
2016-04-14,85.0,0.0,3.5294117647058822,1.1764705882352942,3.5294117647058822,1.1764705882352942,0.0,0.0,0.0,5.482352941176471,56.0
2016-04-26,168.0,1.7857142857142856,7.738095238095238,2.380952380952381,0.5952380952380952,1.7857142857142856,0.5952380952380952,0.5952380952380952,0.0,5.214285714285714,114.0
2016-05-06,134.0,0.7462686567164178,1.4925373134328357,2.2388059701492535,0.0,1.4925373134328357,0.0,0.0,0.0,4.932835820895522,95.0
2016-05-23,151.0,0.6622516556291391,0.6622516556291391,0.6622516556291391,0.0,0.0,0.0,1.9867549668874174,0.6622516556291391,4.814569536423841,100.0
2016-06-29,320.0,0.3125,7.5,0.625,5.9375,0.3125,0.3125,0.625,0.3125,5.178125,184.0
2016-10-28,144.0,1.3888888888888888,2.083333333333333,2.7777777777777777,0.6944444444444444,2.083333333333333,0.0,0.0,0.6944444444444444,4.826388888888889,90.0
2016-12-12,118.0,1.694915254237288,1.694915254237288,0.847457627118644,0.0,0.847457627118644,0.0,0.847457627118644,0.0,4.677966101694915,86.0
2016-12-13,629.5,0.869477207092926,1.5091360557069984,0.7828398693692478,0.31982942430703626,0.5063291139240507,0.5496477827858898,0.12658227848101267,0.27651075544519715,4.890843701924375,287.5
2017-01-04,399.0,0.2506265664160401,2.2556390977443606,0.2506265664160401,0.0,0.0,1.7543859649122806,1.2531328320802004,1.2531328320802004,4.7518796992481205,204.0
2017-01-11,509.0,0.3929273084479371,6.286836935166994,1.37524557956778,0.9823182711198428,0.3929273084479371,0.0,0.3929273084479371,0.0,5.514734774066798,284.0
2017-03-01,142.0,0.0,1.4084507042253522,1.4084507042253522,0.0,1.4084507042253522,0.0,0.7042253521126761,0.7042253521126761,5.21830985915493,104.0
2017-03-09,312.0,1.282051282051282,4.166666666666666,0.0,3.205128205128205,0.0,0.3205128205128205,0.3205128205128205,0.0,5.259615384615385,192.0
2017-03-13,294.0,0.0,3.061224489795918,0.0,2.7210884353741496,0.0,0.3401360544217687,0.3401360544217687,0.0,5.061224489795919,141.0
2017-04-11,324.0,1.2345679012345678,1.2345679012345678,0.9259259259259258,1.5432098765432098,0.6172839506172839,1.5432098765432098,0.6172839506172839,0.6172839506172839,5.080246913580247,186.0
2017-04-19,154.0,0.6493506493506493,1.948051948051948,0.0,0.6493506493506493,0.0,0.0,0.0,0.6493506493506493,5.285714285714286,97.0
2017-04-27,229.0,0.8733624454148471,5.240174672489083,1.7467248908296942,6.550218340611353,0.8733624454148471,0.0,0.0,0.43668122270742354,5.122270742358078,124.0
2017-04-28,328.0,1.524390243902439,1.8292682926829267,0.0,0.0,0.0,0.3048780487804878,0.0,0.3048780487804878,5.298780487804878,172.0
2017-05-30,455.0,0.43956043956043955,2.6373626373626373,1.7582417582417582,0.21978021978021978,0.43956043956043955,0.8791208791208791,0.21978021978021978,0.43956043956043955,5.397802197802198,236.0
2017-06-02,582.0,0.5154639175257731,3.951890034364261,2.0618556701030926,3.608247422680412,1.3745704467353952,0.3436426116838488,0.1718213058419244,0.1718213058419244,5.231958762886598,301.0
2017-06-09,115.0,1.7391304347826086,0.8695652173913043,0.8695652173913043,0.0,0.0,0.0,0.0,0.0,5.51304347826087,86.0
2017-06-20,185.0,0.5405405405405406,0.5405405405405406,0.5405405405405406,1.0810810810810811,0.5405405405405406,1.6216216216216217,1.0810810810810811,0.0,5.145945945945946,114.0
