,number of words,% positive,% negative,% uncertainty,% litigious,% modal-weak,% modal moderate,% modal strong,% constraining,average word length,vocabulary
2016-12-05,315.0,0.0,0.0,1.2698412698412698,0.0,1.2698412698412698,0.0,0.31746031746031744,0.0,4.688888888888889,192.0
2017-01-07,258.0,0.0,1.550387596899225,0.3875968992248062,0.0,0.3875968992248062,0.0,0.3875968992248062,0.3875968992248062,4.930232558139535,167.0
2017-02-28,694.0,0.7204610951008645,2.5936599423631126,1.0086455331412103,0.1440922190201729,0.8645533141210375,0.43227665706051877,0.0,0.1440922190201729,4.654178674351585,331.0
2017-03-03,324.0,0.30864197530864196,4.938271604938271,0.30864197530864196,0.0,0.0,0.0,0.30864197530864196,0.30864197530864196,4.981481481481482,179.0
2017-06-16,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.705882352941177,31.0
2017-08-28,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.705882352941177,31.0
2017-09-07,172.0,1.1627906976744187,0.5813953488372093,1.1627906976744187,1.1627906976744187,0.5813953488372093,0.0,0.5813953488372093,0.5813953488372093,4.819767441860465,122.0
2017-10-25,1272.0,0.15723270440251574,0.3144654088050315,0.7075471698113208,0.07861635220125787,0.550314465408805,0.2358490566037736,1.3364779874213837,0.3144654088050315,4.682389937106918,500.0
2017-11-07,1206.0,0.9121061359867331,1.5754560530679935,0.8291873963515755,0.16583747927031509,0.4975124378109453,0.33167495854063017,0.24875621890547264,0.41459369817578773,5.071310116086235,510.0
2018-01-18,186.0,1.0752688172043012,1.0752688172043012,0.5376344086021506,0.0,0.5376344086021506,0.5376344086021506,0.0,0.0,4.645161290322581,124.0
2018-01-21,316.0,0.5482270702970855,0.411522633744856,0.5482270702970855,0.0,0.205761316872428,0.3424657534246575,0.51440329218107,0.0,4.7505496363943855,191.0
2018-01-22,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.025,31.0
2018-02-01,592.0,0.8445945945945946,1.0135135135135136,0.6756756756756757,0.0,0.33783783783783783,0.8445945945945946,0.0,0.0,4.962837837837838,309.0
2018-02-27,312.0,1.9230769230769231,0.641025641025641,0.641025641025641,0.0,0.3205128205128205,0.0,0.641025641025641,0.0,4.913461538461538,170.0
2018-03-28,553.0,0.0,2.1699819168173597,0.3616636528028933,1.2658227848101267,0.3616636528028933,0.18083182640144665,0.18083182640144665,0.0,4.947558770343581,258.0
2018-03-29,375.0,0.26666666666666666,2.1333333333333333,0.5333333333333333,1.866666666666667,0.0,0.8,0.26666666666666666,0.26666666666666666,4.856,198.0
2018-04-16,568.0,0.7042253521126761,4.401408450704225,0.35211267605633806,0.528169014084507,0.35211267605633806,0.17605633802816903,0.0,0.17605633802816903,4.834507042253521,291.0
2018-05-22,185.0,0.0,4.324324324324325,1.6216216216216217,3.2432432432432434,1.6216216216216217,0.0,0.0,1.0810810810810811,5.151351351351352,127.0
2018-05-25,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.333333333333333,37.0
2018-09-04,145.0,0.6896551724137931,0.6896551724137931,0.6896551724137931,0.0,0.6896551724137931,0.0,0.6896551724137931,0.0,4.889655172413793,106.0
2018-09-19,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.705882352941177,31.0
