,number of words,% positive,% negative,% uncertainty,% litigious,% modal-weak,% modal moderate,% modal strong,% constraining,average word length,vocabulary
2016-02-24,360.0,0.5555555555555556,1.1111111111111112,0.5555555555555556,0.0,0.5555555555555556,0.2777777777777778,0.2777777777777778,0.0,4.722222222222222,210.0
2016-04-12,621.0,1.288244766505636,0.644122383252818,1.932367149758454,0.0,1.7713365539452495,0.1610305958132045,1.1272141706924315,0.0,5.225442834138486,323.0
2016-05-11,270.0,0.3703703703703704,1.1111111111111112,0.7407407407407408,0.0,0.3703703703703704,0.7407407407407408,0.0,0.3703703703703704,4.762962962962963,185.0
2016-11-14,208.0,0.4807692307692308,3.3653846153846154,0.4807692307692308,0.0,0.4807692307692308,0.4807692307692308,0.0,0.0,5.230769230769231,137.0
2016-11-16,1884.0,0.8492569002123143,3.1847133757961785,1.5392781316348196,0.21231422505307856,1.0615711252653928,0.21231422505307856,0.47770700636942676,0.2653927813163482,4.826963906581741,685.0
2016-12-15,194.0,0.5154639175257731,4.639175257731959,1.0309278350515463,0.5154639175257731,0.5154639175257731,0.0,0.5154639175257731,1.0309278350515463,4.835051546391752,119.0
2017-03-25,844.0,0.47393364928909953,2.962085308056872,0.5924170616113744,1.4218009478672986,0.23696682464454977,0.0,0.0,0.23696682464454977,5.3649289099526065,377.0
2017-03-28,1287.0,1.0101010101010102,1.6317016317016315,1.4763014763014763,0.0777000777000777,0.4662004662004662,0.3108003108003108,0.9324009324009324,0.0777000777000777,4.7630147630147635,501.0
2017-04-18,1000.0,1.0,0.5,1.0999999999999999,0.2,0.8,0.2,1.0,0.1,4.986,448.0
2017-05-18,168.0,1.7857142857142856,6.547619047619048,1.1904761904761905,1.7857142857142856,1.1904761904761905,1.1904761904761905,0.0,0.5952380952380952,5.148809523809524,112.0
2017-06-27,632.0,1.4240506329113924,1.2658227848101267,0.949367088607595,0.0,0.7911392405063291,0.0,0.31645569620253167,0.0,4.920886075949367,324.0
2017-09-06,295.0,0.3389830508474576,3.728813559322034,0.0,0.3389830508474576,0.0,0.6779661016949152,0.0,0.0,4.976271186440678,179.0
2017-09-21,205.0,1.4634146341463417,2.4390243902439024,0.0,0.975609756097561,0.0,0.4878048780487805,0.0,0.0,5.239024390243903,136.0
2017-10-12,458.0,0.43668122270742354,1.5283842794759825,1.0917030567685588,0.21834061135371177,0.21834061135371177,0.21834061135371177,0.0,0.0,4.777292576419214,250.0
2017-10-30,227.0,0.4405286343612335,0.881057268722467,0.4405286343612335,0.4405286343612335,0.0,0.0,0.0,0.0,5.233480176211454,138.0
2017-11-01,390.0,0.5128205128205128,2.307692307692308,0.2564102564102564,1.0256410256410255,0.2564102564102564,0.5128205128205128,0.5128205128205128,0.0,5.058974358974359,231.0
2018-01-11,614.0,0.8143322475570033,2.2801302931596092,0.8143322475570033,0.0,0.32573289902280134,0.9771986970684038,1.1400651465798046,0.32573289902280134,4.8452768729641695,299.0
